Order ID,Order Date,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Customer ID
1001,2022-01-01,Central,Technology,Chairs,Product B,691.04,7,0.19,-178.95,C1001
1002,2022-01-02,South,Technology,Paper,Product A,179.36,2,0.12,-191.06,C1003
1003,2022-01-03,East,Furniture,Binders,Product C,912.71,8,0.01,293.86,C1003
1004,2022-01-04,Central,Furniture,Tables,Product C,826.09,2,0.05,13.89,C1001
1005,2022-01-05,Central,Office Supplies,Chairs,Product A,950.8,4,0.21,-7.84,C1001
1006,2022-01-06,South,Furniture,Tables,Product D,731.21,1,0.2,139.82,C1004
1007,2022-01-07,East,Technology,Paper,Product D,621.15,5,0.01,-90.87,C1001
1008,2022-01-08,East,Technology,Paper,Product A,429.88,9,0.07,274.98,C1004
1009,2022-01-09,Central,Furniture,Chairs,Product A,934.07,1,0.07,193.17,C1004
1010,2022-01-10,West,Technology,Binders,Product C,868.74,9,0.2,-155.29,C1001
1011,2022-01-11,Central,Technology,Phones,Product D,64.31,8,0.01,8.79,C1002
1012,2022-01-12,Central,Furniture,Chairs,Product A,45.84,6,0.03,239.56,C1002
1013,2022-01-13,Central,Furniture,Phones,Product C,388.93,7,0.24,272.37,C1004
1014,2022-01-14,Central,Technology,Phones,Product D,814.34,3,0.05,33.7,C1001
1015,2022-01-15,South,Technology,Binders,Product B,987.53,1,0.2,106.71,C1002
1016,2022-01-16,East,Technology,Phones,Product C,167.41,5,0.07,-116.48,C1001
1017,2022-01-17,South,Office Supplies,Phones,Product D,602.25,2,0.03,295.58,C1001
1018,2022-01-18,South,Office Supplies,Binders,Product D,393.27,5,0.07,-84.16,C1001
1019,2022-01-19,South,Office Supplies,Phones,Product C,970.52,8,0.22,271.37,C1005
1020,2022-01-20,Central,Furniture,Phones,Product B,845.28,9,0.26,124.82,C1001
1021,2022-01-21,West,Office Supplies,Phones,Product C,841.56,2,0.25,103.87,C1005
1022,2022-01-22,East,Furniture,Chairs,Product D,479.32,3,0.12,56.34,C1004
1023,2022-01-23,West,Furniture,Chairs,Product A,426.52,3,0.2,-84.67,C1002
1024,2022-01-24,South,Office Supplies,Chairs,Product A,287.94,1,0.06,-111.74,C1002
1025,2022-01-25,South,Office Supplies,Binders,Product C,75.25,8,0.09,-89.76,C1002
1026,2022-01-26,West,Office Supplies,Paper,Product D,867.43,6,0.27,-106.78,C1002
1027,2022-01-27,West,Technology,Phones,Product A,816.64,8,0.0,189.79,C1002
1028,2022-01-28,West,Office Supplies,Phones,Product D,999.72,9,0.03,-24.94,C1002
1029,2022-01-29,South,Technology,Binders,Product C,996.7,5,0.06,-171.08,C1002
1030,2022-01-30,South,Furniture,Phones,Product A,564.32,3,0.01,284.55,C1004
1031,2022-01-31,East,Technology,Chairs,Product D,773.61,5,0.05,241.89,C1001
1032,2022-02-01,East,Office Supplies,Paper,Product A,945.87,5,0.17,263.88,C1003
1033,2022-02-02,South,Furniture,Tables,Product C,852.65,5,0.13,297.45,C1005
1034,2022-02-03,West,Furniture,Phones,Product D,262.4,3,0.27,-113.05,C1003
1035,2022-02-04,West,Furniture,Chairs,Product A,461.53,4,0.25,-1.88,C1003
1036,2022-02-05,East,Technology,Tables,Product C,146.58,9,0.1,179.12,C1001
1037,2022-02-06,South,Office Supplies,Paper,Product A,954.97,9,0.08,148.01,C1001
1038,2022-02-07,East,Furniture,Tables,Product A,614.05,2,0.11,-123.05,C1001
1039,2022-02-08,East,Furniture,Chairs,Product B,244.07,8,0.18,207.92,C1002
1040,2022-02-09,Central,Furniture,Tables,Product B,678.27,8,0.08,-87.78,C1004
1041,2022-02-10,Central,Technology,Binders,Product C,625.77,7,0.19,-88.09,C1002
1042,2022-02-11,Central,Technology,Tables,Product B,371.0,8,0.12,68.49,C1004
1043,2022-02-12,West,Office Supplies,Phones,Product C,131.29,3,0.17,96.47,C1004
1044,2022-02-13,South,Technology,Phones,Product B,678.14,6,0.13,90.04,C1003
1045,2022-02-14,South,Furniture,Binders,Product A,529.9,1,0.09,-154.26,C1003
1046,2022-02-15,South,Office Supplies,Chairs,Product C,776.87,7,0.28,238.73,C1004
1047,2022-02-16,South,Furniture,Phones,Product C,529.76,1,0.23,-67.2,C1004
1048,2022-02-17,Central,Furniture,Paper,Product A,855.14,9,0.04,-135.24,C1002
1049,2022-02-18,West,Technology,Phones,Product C,560.87,1,0.26,244.37,C1002
1050,2022-02-19,West,Office Supplies,Phones,Product C,569.72,1,0.15,277.83,C1003
1051,2022-02-20,Central,Technology,Chairs,Product B,879.12,7,0.27,231.06,C1001
1052,2022-02-21,West,Technology,Tables,Product C,415.41,2,0.24,204.76,C1004
1053,2022-02-22,Central,Office Supplies,Phones,Product D,151.33,5,0.13,127.62,C1002
1054,2022-02-23,South,Furniture,Binders,Product A,48.21,8,0.01,75.43,C1003
1055,2022-02-24,Central,Furniture,Tables,Product B,760.03,8,0.08,-156.51,C1002
1056,2022-02-25,South,Office Supplies,Paper,Product B,627.9,3,0.16,4.23,C1004
1057,2022-02-26,South,Furniture,Chairs,Product D,710.0,7,0.19,-13.66,C1004
1058,2022-02-27,East,Office Supplies,Paper,Product A,228.7,3,0.08,-70.12,C1005
1059,2022-02-28,Central,Office Supplies,Tables,Product A,153.64,6,0.04,161.71,C1001
1060,2022-03-01,East,Technology,Tables,Product B,34.25,6,0.25,47.94,C1005
1061,2022-03-02,Central,Office Supplies,Tables,Product C,363.58,3,0.3,-159.48,C1003
1062,2022-03-03,Central,Technology,Paper,Product B,598.12,7,0.16,-89.91,C1002
1063,2022-03-04,East,Furniture,Tables,Product A,404.4,3,0.05,141.63,C1003
1064,2022-03-05,East,Furniture,Paper,Product D,448.73,8,0.08,-161.93,C1004
1065,2022-03-06,Central,Furniture,Tables,Product B,906.08,4,0.01,225.6,C1005
1066,2022-03-07,West,Furniture,Binders,Product A,361.29,1,0.27,47.57,C1005
1067,2022-03-08,South,Technology,Tables,Product B,523.71,4,0.04,40.29,C1005
1068,2022-03-09,East,Furniture,Paper,Product C,787.98,7,0.17,96.2,C1003
1069,2022-03-10,South,Office Supplies,Phones,Product B,408.61,4,0.08,212.34,C1004
1070,2022-03-11,West,Office Supplies,Tables,Product B,629.64,6,0.17,-26.1,C1002
1071,2022-03-12,West,Office Supplies,Phones,Product A,865.12,9,0.2,139.01,C1002
1072,2022-03-13,West,Technology,Binders,Product A,950.53,1,0.25,82.87,C1003
1073,2022-03-14,East,Furniture,Chairs,Product A,164.13,5,0.06,-66.49,C1005
1074,2022-03-15,West,Furniture,Binders,Product B,928.06,7,0.0,239.31,C1001
1075,2022-03-16,East,Furniture,Tables,Product C,502.27,1,0.04,198.71,C1003
1076,2022-03-17,West,Technology,Phones,Product D,273.08,4,0.27,129.23,C1003
1077,2022-03-18,South,Office Supplies,Phones,Product D,469.95,6,0.26,225.29,C1004
1078,2022-03-19,South,Office Supplies,Paper,Product A,980.43,2,0.18,233.65,C1002
1079,2022-03-20,Central,Furniture,Phones,Product A,502.77,5,0.18,154.18,C1003
1080,2022-03-21,South,Office Supplies,Paper,Product B,342.18,1,0.2,218.51,C1003
1081,2022-03-22,Central,Office Supplies,Chairs,Product D,640.73,6,0.05,148.74,C1005
1082,2022-03-23,South,Technology,Tables,Product A,255.34,6,0.27,140.07,C1005
1083,2022-03-24,East,Technology,Paper,Product C,94.35,4,0.13,109.31,C1001
1084,2022-03-25,South,Technology,Chairs,Product C,146.3,8,0.11,176.36,C1004
1085,2022-03-26,Central,Technology,Phones,Product A,145.48,4,0.16,-120.7,C1001
1086,2022-03-27,Central,Furniture,Phones,Product A,168.86,8,0.01,240.44,C1005
1087,2022-03-28,West,Technology,Chairs,Product D,156.05,8,0.05,235.92,C1002
1088,2022-03-29,East,Office Supplies,Phones,Product D,648.06,5,0.22,-185.38,C1005
1089,2022-03-30,South,Furniture,Chairs,Product B,198.24,4,0.02,212.91,C1004
1090,2022-03-31,West,Office Supplies,Paper,Product D,358.75,2,0.18,-135.57,C1005
1091,2022-04-01,South,Office Supplies,Paper,Product C,898.85,3,0.07,-32.44,C1004
1092,2022-04-02,South,Office Supplies,Chairs,Product C,484.48,3,0.12,171.75,C1004
1093,2022-04-03,West,Technology,Paper,Product A,674.21,4,0.09,-119.62,C1004
1094,2022-04-04,West,Technology,Paper,Product D,188.87,4,0.11,208.98,C1004
1095,2022-04-05,West,Furniture,Paper,Product B,208.44,5,0.22,216.07,C1004
1096,2022-04-06,West,Furniture,Binders,Product C,60.05,4,0.09,53.73,C1002
1097,2022-04-07,West,Technology,Tables,Product C,185.56,8,0.17,-196.81,C1001
1098,2022-04-08,South,Office Supplies,Phones,Product B,293.02,6,0.14,-56.48,C1003
1099,2022-04-09,West,Furniture,Binders,Product B,193.47,6,0.2,108.46,C1001
1100,2022-04-10,East,Technology,Paper,Product C,106.93,8,0.28,290.59,C1004
1101,2022-04-11,Central,Technology,Chairs,Product C,138.22,7,0.22,115.91,C1002
1102,2022-04-12,West,Technology,Paper,Product B,471.56,8,0.06,-70.1,C1005
1103,2022-04-13,West,Office Supplies,Tables,Product C,222.21,2,0.01,117.0,C1002
1104,2022-04-14,South,Technology,Paper,Product A,376.98,9,0.08,69.99,C1004
1105,2022-04-15,West,Technology,Chairs,Product A,513.35,1,0.18,189.92,C1002
1106,2022-04-16,West,Technology,Tables,Product B,696.59,8,0.02,-146.51,C1002
1107,2022-04-17,West,Technology,Paper,Product D,58.53,4,0.15,180.51,C1004
1108,2022-04-18,South,Furniture,Tables,Product B,803.42,4,0.18,70.63,C1002
1109,2022-04-19,West,Furniture,Phones,Product B,635.34,5,0.1,281.5,C1003
1110,2022-04-20,Central,Technology,Phones,Product D,100.12,8,0.23,-29.06,C1003
1111,2022-04-21,South,Office Supplies,Paper,Product D,876.11,5,0.03,116.31,C1002
1112,2022-04-22,Central,Furniture,Tables,Product D,922.45,8,0.02,266.01,C1005
1113,2022-04-23,South,Technology,Chairs,Product A,79.86,1,0.22,-148.75,C1004
1114,2022-04-24,West,Furniture,Paper,Product C,291.34,9,0.15,268.61,C1003
1115,2022-04-25,Central,Furniture,Phones,Product A,810.08,6,0.21,143.94,C1005
1116,2022-04-26,South,Office Supplies,Phones,Product C,753.29,3,0.13,-166.08,C1002
1117,2022-04-27,East,Technology,Paper,Product A,200.83,8,0.07,-49.52,C1005
1118,2022-04-28,West,Technology,Tables,Product C,225.16,9,0.25,154.09,C1001
1119,2022-04-29,South,Office Supplies,Phones,Product A,383.06,6,0.24,-166.32,C1003
1120,2022-04-30,East,Office Supplies,Tables,Product D,494.83,7,0.21,91.09,C1002
1121,2022-05-01,South,Technology,Phones,Product B,625.89,1,0.08,-27.06,C1004
1122,2022-05-02,East,Technology,Phones,Product A,381.54,5,0.18,110.46,C1002
1123,2022-05-03,West,Office Supplies,Binders,Product C,473.28,5,0.11,-177.13,C1004
1124,2022-05-04,Central,Furniture,Phones,Product D,752.52,4,0.03,235.77,C1002
1125,2022-05-05,East,Furniture,Chairs,Product A,55.95,6,0.28,286.74,C1005
1126,2022-05-06,South,Office Supplies,Paper,Product A,267.39,7,0.04,284.44,C1005
1127,2022-05-07,West,Furniture,Paper,Product D,719.08,9,0.29,174.83,C1005
1128,2022-05-08,East,Office Supplies,Tables,Product A,897.3,1,0.13,-134.96,C1001
1129,2022-05-09,South,Furniture,Phones,Product B,521.44,6,0.06,179.13,C1004
1130,2022-05-10,South,Furniture,Chairs,Product A,541.47,7,0.16,-187.71,C1005
1131,2022-05-11,South,Technology,Tables,Product B,125.03,3,0.26,-188.94,C1001
1132,2022-05-12,East,Technology,Binders,Product B,458.46,8,0.22,-38.19,C1004
1133,2022-05-13,East,Furniture,Tables,Product D,541.96,5,0.24,44.32,C1002
1134,2022-05-14,East,Furniture,Tables,Product A,257.62,9,0.2,185.2,C1001
1135,2022-05-15,Central,Technology,Phones,Product D,283.86,5,0.21,141.65,C1003
1136,2022-05-16,East,Technology,Binders,Product A,389.74,9,0.25,22.95,C1001
1137,2022-05-17,East,Technology,Tables,Product A,39.67,4,0.07,-63.19,C1001
1138,2022-05-18,East,Office Supplies,Chairs,Product C,335.64,9,0.15,298.56,C1004
1139,2022-05-19,Central,Furniture,Chairs,Product A,227.22,5,0.07,13.09,C1002
1140,2022-05-20,East,Technology,Paper,Product D,340.95,9,0.3,25.69,C1003
1141,2022-05-21,South,Furniture,Binders,Product B,137.37,3,0.28,-118.19,C1005
1142,2022-05-22,East,Office Supplies,Binders,Product A,892.72,4,0.01,197.4,C1005
1143,2022-05-23,South,Office Supplies,Paper,Product C,601.72,9,0.21,146.84,C1001
1144,2022-05-24,South,Technology,Tables,Product D,685.52,6,0.28,-89.62,C1004
1145,2022-05-25,South,Office Supplies,Binders,Product A,793.39,2,0.05,-158.81,C1004
1146,2022-05-26,Central,Furniture,Chairs,Product D,508.47,7,0.17,140.25,C1005
1147,2022-05-27,Central,Technology,Chairs,Product C,105.18,2,0.27,127.26,C1003
1148,2022-05-28,Central,Furniture,Phones,Product C,546.36,2,0.01,-63.37,C1002
1149,2022-05-29,East,Furniture,Binders,Product D,595.1,1,0.21,275.43,C1003
1150,2022-05-30,South,Office Supplies,Tables,Product A,750.53,3,0.09,-124.47,C1002
1151,2022-05-31,Central,Office Supplies,Paper,Product B,443.03,6,0.28,16.17,C1005
1152,2022-06-01,Central,Office Supplies,Paper,Product C,145.03,8,0.29,271.81,C1002
1153,2022-06-02,East,Office Supplies,Tables,Product A,298.1,9,0.28,9.86,C1004
1154,2022-06-03,Central,Office Supplies,Phones,Product A,375.82,7,0.14,119.26,C1001
1155,2022-06-04,East,Technology,Paper,Product B,653.0,4,0.26,-1.2,C1001
1156,2022-06-05,West,Furniture,Binders,Product C,579.36,6,0.25,-62.89,C1005
1157,2022-06-06,Central,Furniture,Phones,Product C,368.97,5,0.1,291.99,C1004
1158,2022-06-07,West,Furniture,Binders,Product A,986.78,8,0.25,4.67,C1003
1159,2022-06-08,East,Furniture,Chairs,Product A,613.66,1,0.01,247.05,C1004
1160,2022-06-09,South,Office Supplies,Phones,Product B,252.48,1,0.18,-85.02,C1001
1161,2022-06-10,Central,Furniture,Paper,Product B,119.75,6,0.07,-93.45,C1001
1162,2022-06-11,East,Technology,Phones,Product C,169.8,2,0.04,-184.43,C1004
1163,2022-06-12,South,Technology,Phones,Product D,261.04,5,0.02,125.83,C1004
1164,2022-06-13,South,Furniture,Phones,Product C,177.47,1,0.21,-15.74,C1001
1165,2022-06-14,West,Furniture,Phones,Product A,202.84,7,0.1,232.18,C1003
1166,2022-06-15,East,Technology,Binders,Product C,299.39,1,0.22,36.6,C1005
1167,2022-06-16,South,Technology,Chairs,Product D,189.91,4,0.02,284.1,C1005
1168,2022-06-17,Central,Office Supplies,Tables,Product B,898.83,9,0.09,-107.24,C1004
1169,2022-06-18,Central,Technology,Phones,Product D,98.63,1,0.16,234.31,C1005
1170,2022-06-19,West,Office Supplies,Paper,Product D,534.02,4,0.24,188.3,C1001
1171,2022-06-20,South,Office Supplies,Phones,Product D,422.19,6,0.1,185.46,C1001
1172,2022-06-21,East,Office Supplies,Paper,Product B,982.73,6,0.19,222.39,C1004
1173,2022-06-22,Central,Office Supplies,Binders,Product D,129.8,8,0.27,180.51,C1004
1174,2022-06-23,South,Office Supplies,Paper,Product D,409.9,1,0.18,113.11,C1004
1175,2022-06-24,South,Furniture,Tables,Product D,970.08,7,0.07,-134.38,C1003
1176,2022-06-25,West,Technology,Chairs,Product A,868.2,1,0.01,-183.74,C1005
1177,2022-06-26,Central,Office Supplies,Paper,Product D,820.73,7,0.26,260.42,C1004
1178,2022-06-27,Central,Technology,Paper,Product B,272.74,3,0.01,108.33,C1002
1179,2022-06-28,East,Technology,Chairs,Product D,187.47,8,0.26,198.27,C1002
1180,2022-06-29,Central,Office Supplies,Tables,Product D,675.27,3,0.16,40.76,C1001
1181,2022-06-30,East,Furniture,Phones,Product B,930.79,1,0.28,-141.35,C1005
1182,2022-07-01,Central,Office Supplies,Paper,Product D,565.63,8,0.24,-137.41,C1004
1183,2022-07-02,West,Furniture,Chairs,Product B,580.18,3,0.3,142.78,C1002
1184,2022-07-03,Central,Technology,Binders,Product D,294.38,2,0.11,15.15,C1005
1185,2022-07-04,East,Furniture,Chairs,Product B,774.1,1,0.23,-99.74,C1001
1186,2022-07-05,East,Furniture,Binders,Product D,203.3,3,0.12,45.8,C1003
1187,2022-07-06,West,Furniture,Tables,Product D,337.21,2,0.14,-167.9,C1005
1188,2022-07-07,Central,Technology,Phones,Product A,436.93,2,0.19,90.99,C1005
1189,2022-07-08,Central,Technology,Chairs,Product A,517.46,6,0.26,-65.5,C1003
1190,2022-07-09,West,Furniture,Paper,Product D,257.56,1,0.3,198.78,C1005
1191,2022-07-10,Central,Furniture,Tables,Product D,132.54,2,0.23,-44.82,C1001
1192,2022-07-11,Central,Office Supplies,Chairs,Product C,618.41,6,0.13,27.61,C1001
1193,2022-07-12,East,Furniture,Paper,Product B,302.86,3,0.13,-194.19,C1003
1194,2022-07-13,Central,Office Supplies,Chairs,Product C,589.61,4,0.22,-163.78,C1004
1195,2022-07-14,Central,Furniture,Binders,Product A,171.28,1,0.07,-3.75,C1002
1196,2022-07-15,West,Office Supplies,Chairs,Product A,491.52,8,0.03,39.97,C1004
1197,2022-07-16,West,Technology,Chairs,Product A,541.94,7,0.11,100.01,C1005
1198,2022-07-17,South,Furniture,Chairs,Product A,70.79,7,0.09,-54.17,C1002
1199,2022-07-18,East,Furniture,Tables,Product D,349.87,3,0.09,147.49,C1003
1200,2022-07-19,Central,Furniture,Chairs,Product A,151.73,3,0.07,230.06,C1003
